City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Rikitea,-23.1203,-134.9692,73.11,78,54,22.57,PF,1660436580
Moundou,8.5667,16.0833,69.67,98,81,4.23,TD,1660436581
Mar del Plata,-38.0023,-57.5575,57.94,57,0,25.99,AR,1660436527
Ancud,-41.8697,-73.8203,45.32,80,23,22.41,CL,1660436584
Foumbot,5.5079,10.6356,64.51,96,100,3.04,CM,1660436585
Longyearbyen,78.2186,15.6401,42.64,81,75,9.22,SJ,1660436511
Chokurdakh,70.6333,147.9167,41.29,74,72,9.44,RU,1660436587
Busselton,-33.65,115.3333,54.84,67,47,3.22,AU,1660436589
Tasiilaq,65.6145,-37.6368,39.36,67,4,4.99,GL,1660436590
Lavrentiya,65.5833,-171.0,40.73,68,91,14.72,RU,1660436592
Albany,42.6001,-73.9662,72.01,60,16,0.92,US,1660436223
Olafsvik,64.8945,-23.7142,48.38,78,37,5.03,IS,1660436594
Thompson,55.7435,-97.8558,73.56,33,20,3.44,CA,1660436595
Ushuaia,-54.8,-68.3,37.06,70,75,13.8,AR,1660436440
Tabou,4.423,-7.3528,75.02,85,48,9.1,CI,1660436598
Constitución,-35.3333,-72.4167,51.64,93,81,7.9,CL,1660436599
Bud,39.447,-86.1758,75.81,70,64,3.87,US,1660436602
Dikson,73.5069,80.5464,45.05,100,100,5.19,RU,1660436603
Butaritari,3.0707,172.7902,80.83,79,23,16.44,KI,1660436604
Punta Arenas,-53.15,-70.9167,37.51,87,75,14.97,CL,1660436482
Atuona,-9.8,-139.0333,77.34,71,8,19.46,PF,1660436607
Mehamn,71.0357,27.8492,49.95,87,100,10.36,NO,1660436609
Boende,-0.2167,20.8667,72.57,87,99,1.7,CD,1660436611
Korla,41.7597,86.1469,76.73,36,35,7.63,CN,1660436612
Coquimbo,-29.9533,-71.3436,55.13,82,0,8.05,CL,1660436613
Jamestown,42.097,-79.2353,67.64,40,0,4.61,US,1660436397
Barrow,71.2906,-156.7887,35.62,87,100,6.91,US,1660436376
Sennar,13.5691,33.5672,75.74,81,97,9.51,SD,1660436617
Ponta do Sol,32.6667,-17.1,74.03,79,65,2.82,PT,1660436618
New Norfolk,-42.7826,147.0587,53.1,87,100,1.99,AU,1660436619
Angoche,-16.2325,39.9086,69.55,84,0,8.1,MZ,1660436621
Samarai,-10.6167,150.6667,80.58,80,66,4.94,PG,1660436622
Okhotsk,59.3833,143.3,58.42,94,100,4.97,RU,1660436624
Yellowknife,62.456,-114.3525,73.92,33,20,11.5,CA,1660436625
Tilichiki,60.4667,166.1,61.27,74,99,6.93,RU,1660436626
Mahébourg,-20.4081,57.7,69.26,77,75,13.8,MU,1660436628
Hermanus,-34.4187,19.2345,53.8,77,40,22.39,ZA,1660436629
Arraial do Cabo,-22.9661,-42.0278,69.51,70,0,22.44,BR,1660436630
Poum,-20.2333,164.0167,75.24,70,98,22.28,NC,1660436632
George Town,5.4112,100.3354,79.9,90,20,2.3,MY,1660436633
Avarua,-21.2078,-159.775,75.25,94,100,2.3,CK,1660436421
Avera,33.194,-82.5271,80.65,49,90,3.94,US,1660436636
Port Alfred,-33.5906,26.891,53.6,83,14,8.34,ZA,1660436638
Aksu,41.1231,80.2644,74.26,50,21,4.56,CN,1660436639
Antofagasta,-23.65,-70.4,56.48,87,97,5.53,CL,1660436431
East London,-33.0153,27.9116,57.34,82,65,7.52,ZA,1660436642
Dingle,10.9995,122.6711,80.8,83,99,2.17,PH,1660436644
Kapaa,22.0752,-159.319,84.18,70,75,11.5,US,1660436645
Puerto Ayora,-0.7393,-90.3518,73.36,92,99,10.0,EC,1660436646
Hamilton,39.1834,-84.5333,77.0,63,0,1.01,US,1660436582
Petukhovo,55.0692,67.9019,52.34,74,2,9.95,RU,1660436650
Vaini,-21.2,-175.2,75.36,69,20,13.8,TO,1660436651
Berëzovka,53.7214,25.4993,63.57,96,97,6.76,BY,1660436654
Talaya,61.3833,152.75,61.03,75,100,1.54,RU,1660436655
Upernavik,72.7868,-56.1549,44.56,75,100,1.99,GL,1660436656
Tuatapere,-46.1333,167.6833,48.49,51,1,3.51,NZ,1660436658
Nanao,37.05,136.9667,84.4,83,83,11.05,JP,1660436659
Pevek,69.7008,170.3133,34.38,81,65,9.53,RU,1660436660
Vardø,70.3705,31.1107,49.98,93,100,2.3,NO,1660436662
Vypolzovo,57.8767,33.6986,59.41,82,53,1.25,RU,1660436663
Lagoa,39.05,-27.9833,74.68,90,0,8.97,PT,1660436665
Sechura,-5.5569,-80.8222,65.8,77,61,18.28,PE,1660436666
Ciupercenii Noi,43.9097,22.9483,67.55,76,99,3.98,RO,1660436667
Vidim,56.4088,103.1106,54.27,67,2,2.57,RU,1660436669
Shingū,33.7333,135.9833,87.19,68,93,5.48,JP,1660436670
Matadi,-5.8167,13.45,68.22,83,23,3.62,CD,1660436671
Mataura,-46.1927,168.8643,50.49,64,4,5.06,NZ,1660436673
Port Elizabeth,-33.918,25.5701,48.31,83,0,8.05,ZA,1660436595
Cândido de Abreu,-24.5669,-51.3333,58.03,81,100,2.19,BR,1660436675
Tiksi,71.6872,128.8694,40.19,91,56,17.81,RU,1660436677
