,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Vaini,-21.2,-175.2,71.76,78,75,10.36,TO,1660424802
1,Kutum,14.2,24.6667,77.13,63,86,5.64,SD,1660424803
2,Ust-Nera,64.5667,143.2,62.47,70,95,5.79,RU,1660424805
3,Douglas,41.3,-96.167,89.42,61,0,13.8,US,1660424366
4,Sawtell,-30.3833,153.1,48.22,81,1,8.05,AU,1660424807
5,Ushuaia,-54.8,-68.3,33.51,69,100,8.05,AR,1660424533
6,Kiryat Gat,31.61,34.7642,79.48,100,1,5.37,IL,1660424809
7,Guarujá,-23.9931,-46.2564,71.89,26,4,6.55,BR,1660424812
8,Hobart,-42.8794,147.3294,52.27,96,100,17.27,AU,1660424552
9,Carnarvon,-24.8667,113.6333,63.25,76,0,10.07,AU,1660424814
10,Castro,-24.7911,-50.0119,58.01,73,100,3.85,BR,1660424818
11,Nantucket,41.2835,-70.0995,75.34,58,40,13.8,US,1660424754
12,Kapaa,22.0752,-159.319,82.47,70,40,12.66,US,1660424820
13,Port Blair,11.6667,92.75,80.67,84,100,12.48,IN,1660424822
14,Znamenskoye,57.1281,73.8282,54.0,91,41,11.39,RU,1660424823
15,San Borja,-14.8167,-66.85,90.07,41,17,6.38,BO,1660424824
16,Albany,42.6001,-73.9662,78.46,41,2,1.01,US,1660424635
17,Yellowknife,62.456,-114.3525,71.56,46,11,11.01,CA,1660424637
18,Saint George,37.1041,-113.5841,91.94,40,0,5.99,US,1660424828
19,Nikolskoye,59.7035,30.7861,63.81,70,96,3.69,RU,1660424829
20,Owando,-0.4819,15.8999,83.53,41,100,2.42,CG,1660424831
21,Punta Arenas,-53.15,-70.9167,35.71,93,100,16.11,CL,1660424832
22,Mar del Plata,-38.0023,-57.5575,56.88,70,54,18.01,AR,1660424559
23,Waingapu,-9.6567,120.2641,76.14,87,19,7.56,ID,1660424835
24,Korla,41.7597,86.1469,76.77,41,43,9.62,CN,1660424836
25,Ponta do Sol,32.6667,-17.1,74.03,81,75,4.12,PT,1660424837
26,Clyde River,70.4692,-68.5914,45.16,78,100,1.97,CA,1660424598
27,Mataura,-46.1927,168.8643,44.47,94,7,2.39,NZ,1660424840
28,Severo-Kuril'sk,50.6789,156.125,56.5,96,100,10.38,RU,1660424841
29,Saint Paul Harbor,57.79,-152.4072,52.61,92,99,2.95,US,1660424545
30,Orsha,54.5153,30.4053,63.25,90,44,7.83,BY,1660424843
31,Mossamedes,-15.1961,12.1522,64.31,90,66,2.66,AO,1660424846
32,East London,-33.0153,27.9116,58.05,85,84,12.24,ZA,1660424556
33,Chokurdakh,70.6333,147.9167,36.97,86,78,9.69,RU,1660424596
34,Bengkulu,-3.8004,102.2655,75.15,89,100,3.69,ID,1660424850
35,Busselton,-33.65,115.3333,52.57,69,30,6.08,AU,1660424851
36,Tuatapere,-46.1333,167.6833,36.9,83,2,4.32,NZ,1660424852
37,Hamilton,39.1834,-84.5333,84.65,46,24,4.0,US,1660424175
38,Tiznit Province,29.5833,-9.5,76.15,58,76,2.44,MA,1660424855
39,Torrevieja,37.9787,-0.6822,90.01,38,4,3.0,ES,1660424856
40,Rikitea,-23.1203,-134.9692,73.22,78,34,22.3,PF,1660424857
41,Avarua,-21.2078,-159.775,75.25,88,75,5.75,CK,1660424859
42,Puerto Ayora,-0.7393,-90.3518,76.96,91,100,7.0,EC,1660424860
43,Vardø,70.3705,31.1107,53.58,76,75,14.97,NO,1660424697
44,São João da Barra,-21.6403,-41.0511,71.69,62,2,13.51,BR,1660424864
45,Barrow,71.2906,-156.7887,33.82,93,100,9.22,US,1660424625
